gameid,date,patch,teamname,side,result,game_mins,got_fd,got_more_grubs,scenario,golddiffat15,xpdiffat15,kills,deaths,firstbaron,firsttower,turretplates,opp_turretplates
13092-13092_game_3,2026-01-27 13:48:01,16.02,Invictus Gaming,Blue,0,31.8,0,1,More Grubs Only,,,3,17,,0.0,,
13092-13092_game_3,2026-01-27 13:48:01,16.02,Anyone's Legend,Red,1,31.8,1,0,FD Only,,,17,3,,1.0,,
13093-13093_game_1,2026-01-28 07:12:22,16.02,LGD Gaming,Red,0,28.75,1,0,FD Only,,,6,18,,0.0,,
13093-13093_game_2,2026-01-28 08:02:47,16.02,Ultra Prime,Blue,0,35.11666666666667,0,1,More Grubs Only,,,9,20,,1.0,,
13093-13093_game_1,2026-01-28 07:12:22,16.02,Ultra Prime,Blue,1,28.75,0,1,More Grubs Only,,,18,6,,1.0,,
13093-13093_game_2,2026-01-28 08:02:47,16.02,LGD Gaming,Red,1,35.11666666666667,1,0,FD Only,,,20,9,,0.0,,
13093-13093_game_3,2026-01-28 08:58:34,16.02,Ultra Prime,Blue,0,29.883333333333333,1,1,FD + More Grubs,,,2,12,,1.0,,
13093-13093_game_3,2026-01-28 08:58:34,16.02,LGD Gaming,Red,1,29.883333333333333,0,0,Neither,,,12,2,,0.0,,
13094-13094_game_1,2026-01-28 10:04:00,16.02,LNG Esports,Blue,1,35.516666666666666,0,1,More Grubs Only,,,20,11,,1.0,,
13094-13094_game_1,2026-01-28 10:04:00,16.02,Oh My God,Red,0,35.516666666666666,1,0,FD Only,,,11,20,,0.0,,
13094-13094_game_2,2026-01-28 11:03:16,16.02,LNG Esports,Blue,1,23.2,1,1,FD + More Grubs,,,22,2,,1.0,,
13094-13094_game_2,2026-01-28 11:03:16,16.02,Oh My God,Red,0,23.2,0,0,Neither,,,2,22,,0.0,,
13095-13095_game_1,2026-01-28 12:05:42,16.02,EDward Gaming,Blue,0,31.316666666666666,0,0,Neither,,,11,15,,1.0,,
13095-13095_game_1,2026-01-28 12:05:42,16.02,Ninjas in Pyjamas,Red,1,31.316666666666666,1,1,FD + More Grubs,,,15,11,,0.0,,
13095-13095_game_2,2026-01-28 13:08:28,16.02,EDward Gaming,Blue,1,26.45,0,1,More Grubs Only,,,19,7,,1.0,,
13095-13095_game_2,2026-01-28 13:08:28,16.02,Ninjas in Pyjamas,Red,0,26.45,1,0,FD Only,,,7,19,,0.0,,
